session_id,started_at,ended_at,end_reason,total_cost_usd,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,models,git_branch
c2bc976b-d630-41f8-89f5-e91c04ea12a4,2026-05-19T05:25:34.638Z,2026-05-19T05:32:21.492Z,backfill,0.379165,37,14267,63972,575598,653874,claude-sonnet-4-6,main
ccfcfac9-5c93-499d-85cc-8f62de1bff54,2026-05-20T00:41:38.472Z,2026-05-20T00:56:06.592Z,backfill,0.661808,348,14144,88232,2298238,2400962,claude-sonnet-4-6,main
fe5bc7f2-7777-42dc-ada1-87f505f62844,2026-05-17T06:16:41.554Z,2026-05-17T22:48:12.546Z,backfill,0.724134,56,26382,132276,1199305,1358019,claude-sonnet-4-6,HEAD
aabf65c3-90cf-410f-a90d-c1f86a74df78,2026-05-21T21:21:27.389Z,2026-05-21T21:38:36.716Z,backfill,0.230194,268,2719,46676,455916,505579,claude-sonnet-4-6,main
9e5cb870-de96-4032-be8e-0e7f23a59017,2026-05-16T08:13:04.026Z,2026-05-16T23:07:00.825Z,backfill,3.094686,261,208842,587086,4512689,5308878,"<synthetic>,claude-sonnet-4-6",HEAD
7d0d4305-bd29-4289-b5dc-91301a2d383c,2026-05-19T22:29:04.220Z,2026-05-19T23:57:12.183Z,backfill,4.761502,24869,91103,855675,14149634,15121281,claude-sonnet-4-6,main
9d7aa6ee-4962-4b3d-8092-ab8f748cd04a,2026-05-18T10:30:17.412Z,2026-05-18T10:49:19.202Z,backfill,0.579110,2002,23816,95623,1721802,1843243,claude-sonnet-4-6,main
251848bd-53d0-4204-bd2e-423daefb10d5,2026-05-26T00:06:35.255Z,2026-05-26T10:16:07.372Z,backfill,5.416170,4172,124137,652862,17042415,17823586,claude-sonnet-4-6,main
3cae96b2-ad37-47a7-b69f-6f35938132b8,2026-05-24T07:54:53.640Z,2026-05-24T08:32:02.272Z,backfill,0.297255,33,4054,116656,414782,535525,claude-sonnet-4-6,main
b59db0b0-d661-4aa6-b82c-e107200efaaa,2026-05-21T05:07:47.527Z,2026-05-21T05:53:49.898Z,backfill,2.241505,167,105772,271788,6666755,7044482,claude-sonnet-4-6,main
11bdc7bf-609c-4dd5-9607-457121206999,2026-05-17T00:24:29.723Z,2026-05-17T00:53:57.483Z,backfill,0.853841,68,52079,305494,876879,1234520,claude-sonnet-4-6,HEAD
2a9c1109-31ff-4edc-8c10-ca5a78dc05bf,2026-05-23T00:15:23.972Z,2026-05-23T00:16:33.595Z,backfill,0.128390,13,902,78030,103591,182536,claude-sonnet-4-6,main
b8502a10-578d-43e9-994e-5fd3be917a57,2026-05-25T03:32:17.186Z,2026-05-25T03:32:45.532Z,backfill,0.074121,9,453,27178,103385,131025,claude-sonnet-4-6,main
fa24f392-3bc0-4b80-b83e-36f6b83356f9,2026-05-22T07:51:21.841Z,2026-05-23T00:02:08.063Z,backfill,0.884346,9400,24817,418884,1752889,2205990,claude-sonnet-4-6,main
0deade66-fa87-49f3-81e3-206f99ef2d99,2026-05-18T07:43:04.158Z,2026-05-18T07:47:43.800Z,backfill,0.337185,15,48851,50821,162280,261967,claude-sonnet-4-6,main
19fdf961-7f57-43d5-b2da-712b128c202b,2026-05-19T23:57:46.079Z,2026-05-20T00:16:11.167Z,backfill,0.540311,28,16896,212305,682840,912069,claude-sonnet-4-6,main
c549e638-fc35-4a66-8f90-c099efb702ec,2026-05-25T05:06:48.167Z,2026-05-25T05:26:14.587Z,backfill,0.633753,286,8895,191866,1302177,1503224,claude-sonnet-4-6,main
16c1874d-3a11-449d-ad0c-2d2324b3cf40,2026-05-25T01:33:21.383Z,2026-05-25T03:28:00.564Z,backfill,7.144126,4701,82862,541410,26494342,27123315,claude-sonnet-4-6,main
9454b7d7-ac79-4c7b-97fa-df370ba45bda,2026-05-19T00:17:28.963Z,2026-05-19T00:18:08.837Z,backfill,0.090540,7,548,24909,40148,65612,claude-sonnet-4-6,main
c6734ca5-c2a4-4e09-9f9e-a8e3c8e7be5f,2026-05-18T09:22:10.897Z,2026-05-18T10:09:09.123Z,backfill,1.408543,1952,91482,198131,3196043,3487608,claude-sonnet-4-6,main
9950fcb1-3955-45d0-b9ca-e1b6c7c0ce50,2026-05-21T06:03:47.414Z,2026-05-21T06:10:50.896Z,backfill,0.333720,196,16739,97785,903288,1018008,claude-sonnet-4-6,main
66b75de7-3a49-4074-8605-870d6d8d4952,2026-05-20T04:27:30.745Z,2026-05-20T05:29:38.048Z,backfill,1.526556,29227,30767,429227,3214334,3703555,claude-sonnet-4-6,main
1e64b934-cdd4-4f0f-a79a-63fda1002125,2026-05-19T02:42:32.491Z,2026-05-19T03:06:55.801Z,backfill,1.098300,3477,43921,333912,1117405,1498715,claude-sonnet-4-6,main
541234c7-2e98-4197-803f-b58ef73507f6,2026-05-19T05:49:57.404Z,2026-05-19T06:08:06.937Z,backfill,0.568968,2648,21095,160789,1101796,1286328,claude-sonnet-4-6,main
01aa8ab1-b33a-4eed-aa0a-67c95555b98e,2026-05-19T05:21:49.600Z,2026-05-19T05:23:21.879Z,backfill,0.102107,21,1594,36168,198795,236578,claude-sonnet-4-6,main
e2886806-f334-4dda-8fed-c40faa71fcf5,2026-05-19T05:23:29.576Z,2026-05-19T05:25:10.264Z,backfill,0.093017,16,2741,35561,173354,211672,claude-sonnet-4-6,main
c0dc852d-34c9-402e-9554-d0af0c075ed9,2026-05-19T06:14:40.881Z,2026-05-19T06:16:49.675Z,backfill,0.085516,14,875,26910,107256,135055,claude-sonnet-4-6,main
5eabf74d-704e-4f80-876d-ad8440853172,2026-05-23T22:18:34.502Z,2026-05-23T23:35:41.854Z,backfill,2.089370,43118,37829,413515,5338071,5832533,claude-sonnet-4-6,main
7755aff0-e4a8-4375-80ea-d6286a8d1253,2026-05-20T22:24:05.799Z,2026-05-20T23:46:24.689Z,backfill,3.018405,2232,94234,504786,3949460,4550712,claude-sonnet-4-6,main
97f0ee94-944d-432d-af36-30693393920d,2026-05-22T01:05:05.303Z,2026-05-22T01:16:23.959Z,backfill,0.505751,1232,14229,70101,1378819,1464381,claude-sonnet-4-6,main
08c7947d-b276-41ff-8486-17e8b033ae62,2026-05-20T00:16:53.018Z,2026-05-20T00:20:16.322Z,backfill,0.081495,15,879,23413,122649,146956,claude-sonnet-4-6,main
090d12f5-541b-4706-8b6f-74481feedbb2,2026-05-23T21:41:14.774Z,2026-05-23T21:46:12.615Z,backfill,0.198005,31,8083,37343,530907,576364,claude-sonnet-4-6,Add-gherkin
957de273-8d51-4065-87d0-8371b943a6ac,2026-05-19T03:08:43.509Z,2026-05-19T03:08:59.890Z,backfill,0.065728,6,780,26844,63580,91210,claude-sonnet-4-6,main
7f80de7c-8ec2-4342-99b9-0f9fe8aacf24,2026-05-19T06:01:17.507Z,2026-05-19T06:01:23.812Z,backfill,0.048941,6,240,23644,18662,42552,claude-sonnet-4-6,main
ea8791e9-2bf6-4727-8235-48243931ed9b,2026-05-19T22:43:27.711Z,2026-05-20T00:47:40.399Z,backfill,1.119571,1827,37929,373985,1329205,1742946,claude-sonnet-4-6,main
e091e080-a717-478d-a549-510acc049539,2026-05-23T02:24:49.233Z,2026-05-23T02:38:21.027Z,backfill,1.106626,28240,71930,174786,1174576,1449532,claude-sonnet-4-6,main
af44cc48-3940-4580-be60-344ca9933f73,2026-05-18T09:13:53.327Z,2026-05-18T09:15:15.020Z,backfill,0.143578,13264,13400,31877,145173,203714,claude-sonnet-4-6,main
a648fa06-30b0-4b89-a7fa-32bb1db68800,2026-05-19T02:41:27.361Z,2026-05-19T02:42:26.652Z,backfill,0.066472,10,1006,22510,59646,83172,claude-sonnet-4-6,main
7064741c-4031-4e12-81ce-a39aadbf5b4c,2026-05-20T00:58:06.574Z,2026-05-20T01:09:29.974Z,backfill,0.289932,571,5258,89062,636666,731557,claude-sonnet-4-6,main
653b2a55-2d9e-4c89-b1af-e9320037a69b,2026-05-25T05:34:17.509Z,2026-05-25T06:11:35.863Z,backfill,0.330435,30,1874,146644,280261,428809,claude-sonnet-4-6,main
acb4a766-ca21-4b87-ac64-97bc670f1002,2026-05-16T23:07:21.579Z,2026-05-17T00:20:49.695Z,backfill,2.811669,3028,186205,556721,3923588,4669542,claude-sonnet-4-6,HEAD
8c661c02-5e38-460b-90d1-06fd38a48b41,2026-05-25T00:37:02.015Z,2026-05-25T01:33:11.477Z,backfill,1.051229,84,33688,171454,1494954,1700180,claude-sonnet-4-6,main
d26c151a-1914-4834-aefa-ba83b19a25de,2026-05-18T05:58:45.296Z,2026-05-18T06:02:11.202Z,backfill,0.128793,25,2473,53360,256883,312741,claude-sonnet-4-6,main
4ca658b6-5899-4d1f-9348-571204355b1f,2026-05-21T05:56:50.429Z,2026-05-21T05:56:55.868Z,backfill,ERROR,0,0,0,0,0,,main
821b0f9d-26c8-4479-944f-40b50ee04dad,2026-05-18T22:47:45.128Z,2026-05-18T23:33:35.198Z,backfill,1.951984,3870,155054,168629,2157157,2484710,claude-sonnet-4-6,main
8ea9f756-659e-426c-8c37-1b5d59ea1780,2026-05-20T01:09:34.296Z,2026-05-20T01:34:55.012Z,backfill,1.736628,12287,66500,214030,5214789,5507606,claude-sonnet-4-6,main
d6470957-1580-4bcc-af5d-c91c1367783a,2026-05-21T07:38:15.438Z,2026-05-21T07:40:16.724Z,backfill,0.102219,136,2235,20357,246374,269102,claude-sonnet-4-6,main
14daeba6-719f-44d8-9f15-dba4f406e370,2026-05-23T03:49:41.331Z,2026-05-23T03:50:06.105Z,backfill,0.092127,66,1205,48033,120724,170028,claude-sonnet-4-6,main
35832b96-e358-474a-a710-752b1ea6a35f,2026-05-19T03:10:41.548Z,2026-05-19T03:31:45.478Z,backfill,1.655338,8715,106436,148101,4104499,4367751,claude-sonnet-4-6,main
1e0500d8-e921-4404-98b3-a416a4d7b9bf,2026-05-19T09:47:05.167Z,2026-05-19T09:59:30.231Z,backfill,0.316760,55,8469,66293,871639,946456,claude-sonnet-4-6,main
7acde0fd-3373-41d2-85d2-a918b07d0942,2026-05-21T06:11:17.259Z,2026-05-21T06:31:49.308Z,backfill,0.813109,9255,25632,111662,2001897,2148446,claude-sonnet-4-6,main
cfa79673-cb84-468a-8dd1-6b00acc333bc,2026-05-18T23:38:55.087Z,2026-05-19T00:12:21.088Z,backfill,0.568086,11248,23282,105286,593336,733152,claude-sonnet-4-6,main
6038486d-0d27-41ec-a232-66652d573f56,2026-05-21T21:18:06.193Z,2026-05-21T21:21:22.411Z,backfill,0.111017,7,471,23848,39707,64033,claude-sonnet-4-6,main
0bd9775c-d8f2-4613-b741-e4873dbe404d,2026-05-27T01:05:39.056Z,2026-05-27T01:18:47.027Z,backfill,0.704849,77,34097,119383,1818945,1972502,claude-sonnet-4-6,main
d2f541d8-1143-42d2-9cec-431934b4d5bc,2026-05-25T09:47:00.328Z,2026-05-25T10:13:54.358Z,backfill,0.518577,80,9879,112407,1397182,1519548,claude-sonnet-4-6,main
bfa32e5c-18d1-4e2a-8257-211e9a7f8002,2026-05-19T09:59:36.833Z,2026-05-19T10:17:09.762Z,backfill,0.707459,63,73891,100058,1026477,1200489,claude-sonnet-4-6,main
f6d0e404-04ef-4199-86bd-352c532341bc,2026-05-25T04:15:03.609Z,2026-05-25T04:32:13.392Z,backfill,0.637655,439,19688,132452,2077152,2229731,claude-sonnet-4-6,main
d70b4dcc-22df-4bee-a68c-0e298716dcdc,2026-05-18T11:27:39.716Z,2026-05-18T11:39:03.132Z,backfill,0.621215,7632,15045,93525,1328932,1445134,claude-sonnet-4-6,main
20716a5f-2b7b-4804-86fa-be73f025cd37,2026-05-23T23:35:46.333Z,2026-05-24T05:03:30.830Z,backfill,1.486541,7888,97340,292066,2729773,3127067,claude-sonnet-4-6,main
ed5bc331-2705-4aa4-9ba8-2d18ef53c182,2026-05-21T07:40:58.540Z,2026-05-21T08:11:38.297Z,backfill,0.494572,644,17671,78068,1649647,1746030,claude-sonnet-4-6,main
039992e2-34e0-4bc2-bc37-020b3168dba0,2026-05-16T08:08:11.083Z,2026-05-16T08:09:27.228Z,backfill,ERROR,0,0,0,0,0,,HEAD
0490e7f0-4715-4ade-bcd1-3e66774cd9d8,2026-05-19T02:22:50.756Z,2026-05-19T02:34:21.716Z,backfill,0.707516,52,12150,190662,1523011,1725875,claude-sonnet-4-6,main
be328986-c04f-45c9-9bb2-b413f43c5950,2026-05-23T21:23:20.357Z,2026-05-23T21:27:50.688Z,backfill,0.055060,3,133,13140,12602,25878,claude-sonnet-4-6,main
7662aa6a-0566-4e11-acb1-7ecd47d06424,2026-05-27T00:44:34.788Z,2026-05-27T01:01:54.586Z,backfill,0.573073,63,5604,177458,896210,1079335,claude-sonnet-4-6,main
ec6bbe3a-0c27-4844-9780-802292fcdace,2026-05-20T23:47:43.237Z,2026-05-21T01:31:05.072Z,backfill,6.433231,36837,278504,830312,17750329,18895982,claude-sonnet-4-6,main
4c7875bf-d9d8-4574-9361-284b9ea82839,2026-05-19T10:30:50.928Z,2026-05-19T10:39:11.152Z,backfill,0.651730,2188,9903,105890,2008676,2126657,claude-sonnet-4-6,main
1e7dbaa3-1a27-4e5f-9fc2-69b1c87828d0,2026-05-22T05:55:13.183Z,2026-05-22T07:49:51.660Z,backfill,2.407652,264,57675,638366,4599189,5295494,claude-sonnet-4-6,main
e992ac12-6cf3-456b-aa9e-2fa112a32793,2026-05-23T21:37:49.976Z,2026-05-23T21:40:30.058Z,backfill,0.145847,16,2055,87272,192872,282215,claude-sonnet-4-6,Add-gherkin
d6c8d981-f63b-41cb-98d8-285572d79360,2026-05-23T02:39:55.622Z,2026-05-23T03:02:58.476Z,backfill,1.236675,18746,56472,423478,3001677,3500373,claude-sonnet-4-6,main
c8f2c54d-f919-426b-bd98-49d4e3092d39,2026-05-19T08:18:28.131Z,2026-05-19T08:30:16.061Z,backfill,0.246279,30,12239,59266,316204,387739,claude-sonnet-4-6,main
4370cb20-3c9f-4143-80aa-b7ad6a81b818,2026-05-21T23:18:13.676Z,2026-05-22T00:59:43.521Z,backfill,5.797484,49414,291301,1164969,12077780,13583464,claude-sonnet-4-6,main
ae16629c-3943-45c0-b8c9-ed09a1fbac69,2026-05-19T23:11:23.866Z,2026-05-19T23:12:49.376Z,backfill,ERROR,0,0,0,0,0,,main
33c090c4-81b4-49a8-afb1-b43982dbaadf,2026-05-23T05:42:54.874Z,2026-05-23T06:55:42.541Z,backfill,5.934221,14108,187870,1240943,14721387,16164308,claude-sonnet-4-6,main
37ba719b-9305-4a8c-b316-ad598ef20ed9,2026-05-21T05:56:59.726Z,2026-05-21T05:59:51.564Z,backfill,0.109071,20,1454,40292,177534,219300,claude-sonnet-4-6,main
17f67510-ea10-4a6b-81d0-6e018dcbe87e,2026-05-24T05:07:21.339Z,2026-05-24T06:08:45.136Z,backfill,5.609714,51993,395267,1104843,12313264,13865367,claude-sonnet-4-6,main
ec61446c-ca70-4e63-b5af-b2854cb83d8d,2026-05-19T09:18:02.253Z,2026-05-19T09:32:42.448Z,backfill,1.019812,18838,58932,127832,1136655,1342257,claude-sonnet-4-6,main
10b67214-546c-4abc-bb68-70d23a3c84bc,2026-05-18T21:40:02.543Z,2026-05-18T22:45:53.216Z,backfill,1.987578,2152,50395,362428,4521527,4936502,claude-sonnet-4-6,main
5209100b-0793-4606-b98e-eeb797d0f4c7,2026-05-16T08:12:24.524Z,2026-05-16T08:12:34.490Z,backfill,0.073231,12,1384,72568,0,73964,claude-sonnet-4-6,HEAD
